t,o,h,l,c,v,s
1735689660,93597.7,93634,93581.1,93634,19462,BTC_USDT
1735689660,189.66,189.74,189.53,189.64,452,SOL_USDT
1735689660,2.0854,2.0854,2.0836,2.0836,437,XRP_USDT
1735689660,0.31595,0.31624,0.31587,0.31624,4483,DOGE_USDT
1735689660,3337.75,3338.7,3336.9,3338.7,8006,ETH_USDT
1735689720,93634.5,93686.7,93613.9,93686.7,52397,BTC_USDT
1735689720,189.7,190.05,189.69,189.89,820,SOL_USDT
1735689720,2.0852,2.0872,2.0848,2.0872,2432,XRP_USDT
1735689720,0.31622,0.3167,0.31622,0.31668,15326,DOGE_USDT
1735689720,3338.7,3342.55,3338.7,3342.55,12896,ETH_USDT
1735689780,190.02,190.02,189.77,189.77,345,SOL_USDT
1735689780,2.0867,2.0867,2.0836,2.084,719,XRP_USDT
1735689780,0.31671,0.31677,0.31651,0.31661,18931,DOGE_USDT
1735689780,93687.4,93687.4,93628.6,93666.2,35703,BTC_USDT
1735689780,3342.35,3342.35,3338.8,3340.25,16115,ETH_USDT
1735689840,3340.3,3342.15,3339.85,3339.9,14262,ETH_USDT
1735689840,189.8,189.85,189.77,189.77,153,SOL_USDT
1735689840,0.31669,0.31685,0.31661,0.31661,8143,DOGE_USDT
1735689840,93666.2,93672.6,93639.9,93645.5,22897,BTC_USDT
1735689840,2.0851,2.0857,2.0841,2.0841,555,XRP_USDT
1735689900,93645.4,93668.8,93639.9,93663.7,17579,BTC_USDT
1735689900,2.085,2.0895,2.085,2.0895,273,XRP_USDT
1735689900,0.31668,0.31735,0.31666,0.31735,31239,DOGE_USDT
1735689900,3340.15,3342.95,3340.15,3342.55,8608,ETH_USDT
1735689900,189.81,190.09,189.8,190.04,195,SOL_USDT
1735689960,190.04,190.04,189.72,189.97,247,SOL_USDT
1735689960,3342.5,3342.5,3339.15,3342.5,8812,ETH_USDT
1735689960,93663.7,93663.7,93572.1,93616.9,44116,BTC_USDT
