t,o,h,l,c,v
1735689660,93597.7,93634,93581.1,93634,19462
1735689720,93634.5,93686.7,93613.9,93686.7,52397
1735689780,93687.4,93687.4,93628.6,93666.2,35703
1735689840,93666.2,93672.6,93639.9,93645.5,22897
1735689900,93645.4,93668.8,93639.9,93663.7,17579
1735689960,93663.7,93663.7,93572.1,93616.9,44116
1735690020,93616.8,93616.9,93591,93596.5,5596
1735690080,93596.5,93607.4,93581.7,93606.3,32067
1735690140,93606.4,93606.4,93589.1,93594.7,10041
1735690200,93595.1,93611.6,93512,93512,62498
1735690260,93512.1,93533.6,93468.2,93500.5,84821
1735690320,93500.6,93513.5,93471,93505.9,74260
1735690380,93506,93544,93506,93537.5,174158
1735690440,93537.7,93644.1,93537.7,93637,41573
1735690500,93637.1,93709.6,93595.4,93699.2,90118
1735690560,93699.2,93834.1,93688.5,93774.1,357716
1735690620,93775.2,93817.3,93758.2,93817.3,93542
1735690680,93817.5,93837.2,93779,93810.9,118184
1735690740,93810.9,93818.3,93766.7,93779.5,250299
1735690800,93779.5,93839.2,93779.5,93839.2,65203
1735690860,93837.4,93875.4,93770,93770,186607
1735690920,93769.7,93769.7,93699,93699.1,40197
1735690980,93699.1,93730.9,93675.5,93716.5,36267
1735691040,93714.1,93737.2,93710.2,93710.2,80872
1735691100,93710.2,93718,93703.5,93707.2,17536
1735691160,93711.1,93717.6,93688.8,93717.6,25890
1735691220,93718.2,93718.2,93698.1,93703.4,10980
1735691280,93703.4,93721.9,93703.4,93711,9379
1735691340,93711,93743.9,93711,93743.9,5988
1735691400,93746.8,93776.3,93737.5,93776.2,13216
1735691460,93782.2,93852,93782.2,93824.5,119462
1735691520,93820.7,93952,93820.7,93911.8,165924
1735691580,93911.8,93922.9,93865,93872.2,109008
1735691640,93873.3,93874.9,93863.1,93868.5,17706
1735691700,93868.6,93884.9,93856.1,93868.8,69737
1735691760,93861.1,93861.1,93821,93839.5,36753
1735691820,93841.7,93857.5,93814.2,93825.5,47024
1735691880,93825.5,93904,93825.5,93904,71756
1735691940,93902.3,93902.3,93861,93894.4,30640
1735692000,93891.1,93931.3,93870.6,93911,50820
1735692060,93911,93911,93863.7,93863.8,40118
1735692120,93868.9,93893.7,93864.5,93879.7,5137
1735692180,93877.8,93901.9,93877.7,93881.2,14335
1735692240,93881.3,93894.1,93858.7,93858.7,11275
1735692300,93858.7,93862.5,93841.9,93841.9,10645
1735692360,93842,93875.2,93839.9,93875.2,14931
1735692420,93875.2,93946.4,93869.5,93933.5,39390
1735692480,93943.2,93951.2,93934.2,93951.2,12683
1735692540,93951.2,93970.7,93951.1,93957,105038
1735692600,93956.9,94065.5,93935.1,94057.3,166932
1735692660,94057.2,94168,94050.5,94136.2,184762
1735692720,94137.2,94139.5,94110.5,94129.6,46909
1735692780,94123.6,94169.3,94103.2,94169.2,94220
1735692840,94169.3,94289.9,94160.5,94226.7,243761
1735692900,94223,94223,94180.9,94181,55124
1735692960,94181,94198,94179.1,94194.6,22437
1735693020,94194.7,94299.9,94183.5,94299.9,46282
1735693080,94298,94451.1,94260.5,94451.1,442373
1735693140,94451.1,94458.3,94334.3,94371.1,137708
1735693200,94371.1,94379.5,94211.5,94235.1,118417
1735693260,94235.1,94235.1,94169.4,94175.9,38978
1735693320,94176,94181.6,94140.8,94140.8,20411
1735693380,94140.8,94156.2,94097.5,94097.5,106332
1735693440,94097.5,94097.5,94057,94080.8,57084
1735693500,94070.4,94070.4,93889.2,93904.8,237647
1735693560,93904.9,93938.1,93900,93925.9,125338
1735693620,93925.8,93964.4,93916.3,93960.8,97210
1735693680,93960.8,93969,93950,93964.1,39614
1735693740,93967.9,94054.3,93929.5,94047.9,48667
1735693800,94051.9,94099.2,94051.3,94064.7,89358
1735693860,94067.5,94093.5,94055.4,94086.8,50780
1735693920,94086.7,94167.3,94080.4,94130,138238
1735693980,94130,94148.9,94120,94120.2,28633
1735694040,94120.2,94138.5,94120.1,94123.6,36559
1735694100,94123.6,94123.7,94041.8,94048.4,88343
1735694160,94042.9,94043,93968,93987.9,104714
1735694220,93987.8,93987.8,93956.7,93962.3,45203
1735694280,93964.3,93967.9,93958.3,93958.4,27679
1735694340,93958.4,93991.1,93952,93965.5,115487
1735694400,93965.5,93974.5,93954.4,93958.5,34885
1735694460,93958.6,93971.5,93958.5,93963,20746
1735694520,93963.1,93963.1,93963,93963,26558
1735694580,93963.1,93963.1,93838.5,93844.1,115294
1735694640,93844.1,93893.4,93833.6,93889.2,58552
1735694700,93889.3,93926.9,93883,93890,52351
1735694760,93889.9,93890,93861,93869.6,10993
1735694820,93869.5,93883.6,93836.3,93863.9,49591
1735694880,93863.9,93863.9,93844.3,93844.4,26170
1735694940,93844.3,93844.3,93817.1,93817.2,128058
1735695000,93817.1,93896.6,93814.4,93896.6,173637
1735695060,93891,93982.8,93885.4,93906.9,28491
1735695120,93906.9,93936.1,93906.8,93935.9,11641
1735695180,93936.2,93939.9,93911.5,93921,8056
