t,o,h,l,c,v
1735689660,3337.75,3338.7,3336.9,3338.7,8006
1735689720,3338.7,3342.55,3338.7,3342.55,12896
1735689780,3342.35,3342.35,3338.8,3340.25,16115
1735689840,3340.3,3342.15,3339.85,3339.9,14262
1735689900,3340.15,3342.95,3340.15,3342.55,8608
1735689960,3342.5,3342.5,3339.15,3342.5,8812
1735690020,3342.45,3342.7,3341.15,3341.9,9049
1735690080,3341.95,3342.7,3341.5,3342.7,15721
1735690140,3342.8,3343.7,3341.75,3342.55,10902
1735690200,3342.55,3344.95,3341.3,3341.55,10320
1735690260,3341.65,3344.15,3341.65,3344.15,11252
1735690320,3344.2,3345.95,3343.3,3345.7,33619
1735690380,3345.6,3346,3343.9,3344.95,10770
1735690440,3345.2,3349.05,3345.2,3348.25,12239
1735690500,3348.25,3350,3347.4,3349.1,26822
1735690560,3349,3351.35,3348,3350.35,144902
1735690620,3350.35,3352.25,3348.65,3352.25,24138
1735690680,3352.15,3352.45,3349.8,3350.15,39168
1735690740,3350.2,3351.25,3349.4,3350.65,16223
1735690800,3350.45,3351.1,3349.7,3350.8,8613
1735690860,3350.45,3353,3349.1,3349.75,12486
1735690920,3349.5,3349.65,3347.55,3347.9,11602
1735690980,3348.1,3349.05,3346.8,3348.6,4646
1735691040,3348.75,3349.7,3348.25,3348.85,12617
1735691100,3348.85,3349.8,3348.85,3349.8,8906
1735691160,3349.8,3349.8,3348.4,3349.05,6450
1735691220,3348.95,3348.95,3346.5,3347,4502
1735691280,3347,3347.55,3346.2,3347.25,23045
1735691340,3347.2,3349.4,3346.6,3348.7,6457
1735691400,3348.7,3349.75,3348.2,3349.1,16632
1735691460,3349.3,3355.25,3349.15,3353.1,112142
1735691520,3353.1,3359.25,3353.1,3355.7,119009
1735691580,3355.75,3358,3355.1,3356.95,36937
1735691640,3356.95,3356.95,3355.25,3356.45,15698
1735691700,3356.4,3357.35,3355.9,3357.35,15054
1735691760,3357.3,3357.65,3356,3356.65,9498
1735691820,3356.6,3356.6,3355.15,3356.25,9549
1735691880,3356.3,3359.15,3356.3,3359.15,13778
1735691940,3358.9,3360.2,3358.15,3359.95,17544
1735692000,3359.95,3361.25,3359.4,3360.15,21513
1735692060,3360.25,3360.25,3355.55,3355.55,23938
1735692120,3355.55,3357.95,3355.45,3355.9,11286
1735692180,3356.15,3357.85,3356.15,3356.6,10023
1735692240,3356.9,3357.65,3355.7,3355.9,8387
1735692300,3355.7,3356,3353.5,3353.95,9550
1735692360,3354.35,3356.3,3354.2,3356.3,4693
1735692420,3356.5,3358.65,3356.45,3357.25,10044
1735692480,3357.5,3357.5,3356.95,3357,1009
1735692540,3356.95,3357.4,3356.3,3356.3,6107
1735692600,3356.05,3359.25,3355.05,3359.1,18876
1735692660,3359.3,3359.6,3357.35,3359.05,10327
1735692720,3359.1,3360.55,3357.85,3360.05,15603
1735692780,3359.4,3361.35,3359,3361.35,14540
1735692840,3360.8,3362.85,3360.65,3360.85,13184
1735692900,3360.85,3360.85,3358.4,3358.85,10041
1735692960,3358.85,3360.4,3358.25,3360.35,7214
1735693020,3360.4,3363.65,3359.95,3363.4,14160
1735693080,3363.4,3364.7,3360.55,3364.45,45974
1735693140,3364.45,3365.3,3362.35,3363.7,17695
1735693200,3363.7,3364.15,3360.15,3360.85,21312
1735693260,3361.05,3364.95,3360.4,3364.95,32034
1735693320,3364.65,3365.6,3361.7,3361.7,10248
1735693380,3361.5,3362.2,3360.2,3360.7,19259
1735693440,3360.45,3360.45,3356.85,3358.8,21576
1735693500,3358.75,3358.75,3354.05,3354.55,29768
1735693560,3354.55,3355.95,3354.35,3354.7,17851
