t,o,h,l,c,v
1735689660,189.66,189.74,189.53,189.64,452
1735689720,189.7,190.05,189.69,189.89,820
1735689780,190.02,190.02,189.77,189.77,345
1735689840,189.8,189.85,189.77,189.77,153
1735689900,189.81,190.09,189.8,190.04,195
1735689960,190.04,190.04,189.72,189.97,247
1735690020,189.97,190.03,189.92,189.96,228
1735690080,189.96,189.99,189.95,189.99,59
1735690140,189.98,190.01,189.91,189.94,91
1735690200,189.95,190.13,189.79,189.79,427
1735690260,189.83,189.94,189.82,189.93,157
1735690320,189.95,190.07,189.86,190.06,172
1735690380,190.08,190.36,190.08,190.22,1161
1735690440,190.22,190.45,190.22,190.37,1395
1735690500,190.41,190.54,190.27,190.46,929
1735690560,190.49,190.8,190.39,190.74,1771
1735690620,190.73,190.93,190.67,190.86,463
1735690680,190.8,191.02,190.74,190.93,1851
1735690740,190.92,190.92,190.78,190.9,150
1735690800,190.89,191.12,190.89,191.12,243
1735690860,191.1,191.24,190.84,190.84,998
1735690920,190.82,190.88,190.56,190.65,2018
1735690980,190.63,190.76,190.56,190.76,369
1735691040,190.78,190.86,190.59,190.59,290
1735691100,190.54,190.64,190.52,190.58,42
1735691160,190.62,190.62,190.39,190.41,341
1735691220,190.4,190.42,190.28,190.34,419
1735691280,190.4,190.42,190.33,190.39,49
1735691340,190.49,190.7,190.49,190.62,630
1735691400,190.61,190.87,190.58,190.86,125
1735691460,190.83,191.09,190.78,191.09,513
1735691520,191.09,191.28,191.04,191.22,362
1735691580,191.21,191.22,191.08,191.12,594
1735691640,191.19,191.25,191.1,191.17,326
1735691700,191.12,191.43,191.12,191.35,240
1735691760,191.27,191.32,191.2,191.32,204
1735691820,191.29,191.3,191.19,191.23,362
1735691880,191.26,191.45,191.26,191.45,221
1735691940,191.4,191.45,191.34,191.37,125
1735692000,191.37,191.5,191.32,191.46,254
1735692060,191.4,191.46,191.24,191.24,273
1735692120,191.23,191.23,191.03,191.13,437
1735692180,191.16,191.25,191.16,191.2,156
1735692240,191.18,191.21,191.04,191.21,51
1735692300,191.21,191.26,191.09,191.2,85
1735692360,191.25,191.43,191.24,191.4,92
1735692420,191.41,191.65,191.41,191.47,739
1735692480,191.55,191.64,191.55,191.64,103
1735692540,191.58,191.69,191.58,191.65,136
1735692600,191.6,191.95,191.6,191.84,823
1735692660,191.86,191.97,191.82,191.94,210
1735692720,191.94,191.94,191.82,191.84,368
1735692780,191.78,191.91,191.7,191.89,364
1735692840,191.9,192.18,191.9,192.04,460
1735692900,192.04,192.16,191.97,191.99,242
1735692960,191.98,192.08,191.96,192.04,275
1735693020,192.03,192.28,192.03,192.28,689
1735693080,192.27,192.4,192.1,192.36,1072
1735693140,192.45,192.61,192.38,192.46,542
1735693200,192.46,192.54,192.17,192.23,391
1735693260,192.16,192.38,192.16,192.38,410
1735693320,192.35,192.41,192.09,192.14,184
1735693380,192.11,192.18,192.02,192.02,363
1735693440,192.02,192.02,191.83,191.99,252
1735693500,191.89,191.94,191.52,191.53,724
1735693560,191.53,191.56,191.43,191.43,285
1735693620,191.44,191.54,191.4,191.53,114
1735693680,191.53,191.61,191.43,191.52,361
1735693740,191.49,191.72,191.43,191.72,158
1735693800,191.69,191.91,191.68,191.73,357
1735693860,191.73,191.84,191.73,191.79,141
1735693920,191.72,191.86,191.64,191.66,718
1735693980,191.71,191.72,191.53,191.62,473
1735694040,191.61,191.61,191.59,191.59,68
1735694100,191.52,191.54,191.28,191.29,1583
1735694160,191.29,191.29,191.13,191.22,330
1735694220,191.14,191.14,190.91,190.95,797
1735694280,190.97,190.97,190.88,190.92,309
1735694340,190.9,190.97,190.81,190.91,1151
1735694400,190.93,191.05,190.93,190.98,265
1735694460,190.99,191.11,190.98,191.04,195
1735694520,191.07,191.15,191.01,191.1,369
1735694580,191.09,191.09,190.64,190.69,1475
1735694640,190.65,190.94,190.61,190.94,115
1735694700,190.93,191.14,190.93,191.09,279
1735694760,191.1,191.11,191,191.06,379
1735694820,191.01,191.11,191.01,191.11,99
1735694880,191.14,191.14,191.08,191.08,117
1735694940,191.05,191.1,191.03,191.1,97
1735695000,191.01,191.31,190.9,191.31,810
1735695060,191.29,191.42,191.27,191.29,412
1735695120,191.24,191.32,191.12,191.14,136
1735695180,191.16,191.16,191.06,191.12,46
1735695240,191.23,191.46,191.23,191.36,83
1735695300,191.32,191.41,191.32,191.4,150
1735695360,191.33,191.42,191.22,191.42,141
1735695420,191.4,191.4,191.29,191.35,80
1735695480,191.47,191.48,191.43,191.43,211
1735695540,191.46,191.56,191.25,191.25,288
1735695600,191.26,191.36,191.26,191.36,38
1735695660,191.35,191.48,191.32,191.39,54
1735695720,191.4,191.4,191.33,191.33,18
1735695780,191.3,191.3,191.26,191.26,14
1735695840,191.23,191.23,191.11,191.11,9
1735695900,191.13,191.16,190.98,191,1143
1735695960,191,191.07,190.96,191.07,105
1735696020,191.06,191.06,190.93,190.95,149
1735696080,190.99,191,190.98,191,33
1735696140,190.98,191.11,190.98,191.11,760
1735696200,191.08,191.08,190.71,190.72,747
1735696260,190.74,190.86,190.72,190.78,134
1735696320,190.76,190.76,190.34,190.55,353
1735696380,190.52,190.66,190.47,190.63,67
1735696440,190.6,190.6,190.36,190.4,63
1735696500,190.41,190.46,190.4,190.45,97
1735696560,190.43,190.43,190.3,190.38,282
1735696620,190.37,190.57,190.37,190.57,98
1735696680,190.6,190.88,190.6,190.78,100
1735696740,190.7,190.7,190.58,190.61,85
1735696800,190.55,190.77,190.55,190.77,370
1735696860,190.77,190.99,190.77,190.91,91
1735696920,190.83,190.92,190.77,190.86,163
1735696980,190.79,191.01,190.78,190.98,265
1735697040,191.02,191.02,190.89,190.89,66
1735697100,190.87,191,190.83,190.85,229
1735697160,190.91,190.93,190.87,190.89,137
1735697220,190.87,190.87,190.72,190.79,168
